Podio por especialidad en todo el año:
Torneo,Especialidad,Deportista,Marca
Criterio de desempate: ante igual marca, se ordena alfabéticamente por deportista.
carrera 100 m,Torneo de Namibia,Aleia HOBBS,9760
carrera 100 m,Torneo de Georgia,Arthur CISSÉ,9760
carrera 100 m,Torneo de Guinea-Bissau,Blessing OKAGBARE,9760
carrera 10000 m,Torneo de Bhutan,Lopez LOMONG,1608036
carrera 10000 m,Torneo de Luxembourg,Abdallah Kibet MANDE,1608063
carrera 10000 m,Torneo de Ecuador,Rodgers KWEMOI,1608075
carrera 110 m con vallas,Torneo de Tunisia,Anna COCKRELL,12098
carrera 110 m con vallas,Torneo de Timor-Leste,Gabriel CONSTANTINO,12098
carrera 110 m con vallas,Torneo de Tonga,Payton CHADWICK,12098
carrera 1500 m,Torneo de South Sudan,Sifan HASSAN,208771
carrera 1500 m,Torneo de Oman,Dawit SEYAUM,208772
carrera 1500 m,Torneo de Niger,Matthew CENTROWITZ,208772
carrera 200 m,Torneo de Grenada,Elaine THOMPSON,19500
carrera 200 m,Torneo de Jamaica,Kayla WHITE,19500
carrera 200 m,Torneo de South Sudan,Mario BURKE,19500
carrera 21000 m,Torneo de Luxembourg,Evaline CHIRCHIR,3481005
carrera 21000 m,Torneo de Indonesia,Zeineba YIMER,3481062
carrera 21000 m,Torneo de Senegal,Roza DEREJE,3481121
carrera 3000 m con vallas,Torneo de New Zealand,Andrew BAYER,481036
carrera 3000 m con vallas,Torneo de Georgia,Chala BEYO,481040
carrera 3000 m con vallas,Torneo de Honduras,Norah JERUTO,481044
carrera 400 m,Torneo de Lithuania,Phyllis FRANCIS,43450
carrera 400 m,Torneo de Iraq,Courtney OKOLO,43451
carrera 400 m,Torneo de Czechia,Galefele MOROKO,43452
carrera 400 m con vallas,Torneo de France,Ashley SPENCER,46092
carrera 400 m con vallas,Torneo de Sudan,Lindsay HANEKOM,46092
carrera 400 m con vallas,Torneo de Timor-Leste,Kyron MCMASTER,46094
carrera 42000 m,Torneo de Ecuador,Zeineba YIMER,7301146
carrera 42000 m,Torneo de Guyana,Kinde ATANAW,7301386
carrera 42000 m,Torneo de Turkey,Ruti AGA,7301667
carrera 5000 m,Torneo de Australia,Sifan HASSAN,772098
carrera 5000 m,Torneo de Ecuador,Birhanu BALEW,772110
carrera 5000 m,Torneo de Bangladesh,Selemon BAREGA,772111
carrera 800 m,Torneo de Libya,Francine NIYONSABA,101892
carrera 800 m,Torneo de Bhutan,Natalya PRYSHCHEPA,101893
carrera 800 m,Torneo de Malaysia,Raevyn ROGERS,101893
lanzamiento de bala,Torneo de Scotland,Alyona GORDEYEVA,2521
lanzamiento de bala,Torneo de Honduras,Anita MÁRTON,2521
lanzamiento de bala,Torneo de United Arab Emirates,Bob BERTEMES,2521
lanzamiento de disco,Torneo de Chad,Alin Alexandru FIRFIRICA,7905
lanzamiento de disco,Torneo de Rwanda,Bin FENG,7905
lanzamiento de disco,Torneo de Norway,Christoph HARTING,7905
lanzamiento de jabalina,Torneo de Japan,Arshad NADEEM,9968
lanzamiento de jabalina,Torneo de Syria,Chao-Tsun CHENG,9968
lanzamiento de jabalina,Torneo de Azerbaijan,Julian WEBER,9968
lanzamiento de martillo,Torneo de Niger,Eivind HENRIKSEN,8992
lanzamiento de martillo,Torneo de Serbia,Hanna MALYSHIK,8992
lanzamiento de martillo,Torneo de Kuwait,Iryna KLYMETS,8992
salto con pertiga,Torneo de Kenya,Alysha NEWMAN,667
salto con pertiga,Torneo de Argentina,Andrew IRWIN,667
salto con pertiga,Torneo de Georgia,Angelica BENGTSSON,667
salto de altura,Torneo de Mauritius,Ana ŠIMIĆ,261
salto de altura,Torneo de Bahrain,Andriy PROTSENKO,261
salto de altura,Torneo de Bulgaria,Anna CHICHEROVA,261
salto largo,Torneo de Sierra Leone,Alina ROTARU,956
salto largo,Torneo de Papua New Guinea,Andwuelle WRIGHT,956
salto largo,Torneo de Burundi,Brittney REESE,956
salto triple,Torneo de Barbados,Ana PELETEIRO,1996
salto triple,Torneo de Antigua and Barbuda,Benjamin WILLIAMS,1996
salto triple,Torneo de Switzerland,Chengetayi MAPAYA,1996
