Podio por especialidad en cada torneo:
Criterio de desempate: ante igual marca, se ordena alfabéticamente por deportista.
Especialidad,Torneo,Deportista,Marca
carrera 100 m,Torneo de Afghanistan,Jonielle SMITH,9799
carrera 100 m,Torneo de Afghanistan,Aleia HOBBS,9903
carrera 100 m,Torneo de Afghanistan,Twanisha TERRY,9952
carrera 100 m,Torneo de Albania,Zharnel HUGHES,9784
carrera 100 m,Torneo de Albania,Mujinga KAMBUNDJI,9798
carrera 100 m,Torneo de Albania,Kayla WHITE,9826
carrera 100 m,Torneo de Algeria,Kayla WHITE,9765
carrera 100 m,Torneo de Algeria,Noah LYLES,9774
carrera 100 m,Torneo de Algeria,Shelly-Ann FRASER-PRYCE,9797
carrera 100 m,Torneo de Andorra,Briana WILLIAMS,9765
carrera 100 m,Torneo de Andorra,Arthur CISSÉ,9815
carrera 100 m,Torneo de Andorra,Marie-Josée TA LOU,9839
carrera 100 m,Torneo de Angola,Tyquendo TRACEY,9794
carrera 100 m,Torneo de Angola,Shelly-Ann FRASER-PRYCE,9799
carrera 100 m,Torneo de Angola,Tebogo MAMATHU,9808
carrera 100 m,Torneo de Antigua and Barbuda,Carina HORN,9779
carrera 100 m,Torneo de Antigua and Barbuda,Twanisha TERRY,9823
carrera 100 m,Torneo de Antigua and Barbuda,Marie-Josée TA LOU,9846
carrera 100 m,Torneo de Argentina,Justin GATLIN,9772
carrera 100 m,Torneo de Argentina,Blessing OKAGBARE,9796
carrera 100 m,Torneo de Argentina,Murielle AHOURÉ,9813
carrera 100 m,Torneo de Armenia,Cravon GILLESPIE,9845
carrera 100 m,Torneo de Armenia,ShaCarri RICHARDSON,9851
carrera 100 m,Torneo de Armenia,Justin GATLIN,9866
carrera 100 m,Torneo de Australia,Arthur CISSÉ,9762
carrera 100 m,Torneo de Australia,Aleia HOBBS,9766
carrera 100 m,Torneo de Australia,Dina ASHER-SMITH,9815
carrera 100 m,Torneo de Austria,Abdul Hakim SANI BROWN,9828
carrera 100 m,Torneo de Austria,Jonielle SMITH,9829
carrera 100 m,Torneo de Austria,Tynia GAITHER,9864
carrera 100 m,Torneo de Azerbaijan,Yohan BLAKE,9786
carrera 100 m,Torneo de Azerbaijan,Justin GATLIN,9806
carrera 100 m,Torneo de Azerbaijan,Aaron BROWN,9844
carrera 100 m,Torneo de Bahamas,Twanisha TERRY,9780
carrera 100 m,Torneo de Bahamas,Yohan BLAKE,9818
carrera 100 m,Torneo de Bahamas,Elaine THOMPSON,9821
carrera 100 m,Torneo de Bahrain,Zharnel HUGHES,9767
carrera 100 m,Torneo de Bahrain,Akani SIMBINE,9770
carrera 100 m,Torneo de Bahrain,Kiara PARKER,9773
carrera 100 m,Torneo de Bangladesh,Isiah YOUNG,9820
carrera 100 m,Torneo de Bangladesh,Aleia HOBBS,9829
carrera 100 m,Torneo de Bangladesh,Cravon GILLESPIE,9832
carrera 100 m,Torneo de Barbados,Cravon GILLESPIE,9769
carrera 100 m,Torneo de Barbados,Tyquendo TRACEY,9849
carrera 100 m,Torneo de Barbados,Teahna DANIELS,9872
carrera 100 m,Torneo de Belarus,Tynia GAITHER,9764
carrera 100 m,Torneo de Belarus,Cravon GILLESPIE,9775
carrera 100 m,Torneo de Belarus,Kayla WHITE,9780
carrera 100 m,Torneo de Belgium,Kayla WHITE,9815
carrera 100 m,Torneo de Belgium,Carina HORN,9821
carrera 100 m,Torneo de Belgium,Blessing OKAGBARE,9851
carrera 100 m,Torneo de Belize,Shelly-Ann FRASER-PRYCE,9789
carrera 100 m,Torneo de Belize,Mujinga KAMBUNDJI,9812
carrera 100 m,Torneo de Belize,Kayla WHITE,9823
carrera 100 m,Torneo de Benin,Kiara PARKER,9785
carrera 100 m,Torneo de Benin,Twanisha TERRY,9827
carrera 100 m,Torneo de Benin,Cravon GILLESPIE,9846
carrera 100 m,Torneo de Bhutan,Raymond EKEVWO,9769
carrera 100 m,Torneo de Bhutan,Elaine THOMPSON,9790
carrera 100 m,Torneo de Bhutan,Tyquendo TRACEY,9797
carrera 100 m,Torneo de Bolivia,Mario BURKE,9797
carrera 100 m,Torneo de Bolivia,Aleia HOBBS,9818
carrera 100 m,Torneo de Bolivia,Arthur CISSÉ,9820
carrera 100 m,Torneo de Bosnia and Herzegovina,Marie-Josée TA LOU,9763
carrera 100 m,Torneo de Bosnia and Herzegovina,Tynia GAITHER,9821
carrera 100 m,Torneo de Bosnia and Herzegovina,Roberto SKYERS,9825
carrera 100 m,Torneo de Botswana,Aaron BROWN,9767
carrera 100 m,Torneo de Botswana,Tebogo MAMATHU,9773
carrera 100 m,Torneo de Botswana,Reece PRESCOD,9786
carrera 100 m,Torneo de Brazil,Kayla WHITE,9769
carrera 100 m,Torneo de Brazil,Tyquendo TRACEY,9771
carrera 100 m,Torneo de Brazil,Cravon GILLESPIE,9773
carrera 100 m,Torneo de Brunei,Tynia GAITHER,9760
carrera 100 m,Torneo de Brunei,Cravon GILLESPIE,9797
carrera 100 m,Torneo de Brunei,Mario BURKE,9835
carrera 100 m,Torneo de Bulgaria,Akani SIMBINE,9779
carrera 100 m,Torneo de Bulgaria,Tebogo MAMATHU,9779
carrera 100 m,Torneo de Bulgaria,Michael RODGERS,9833
carrera 100 m,Torneo de Burkina Faso,Andre DE GRASSE,9775
carrera 100 m,Torneo de Burkina Faso,Arthur CISSÉ,9791
carrera 100 m,Torneo de Burkina Faso,Mujinga KAMBUNDJI,9813
carrera 100 m,Torneo de Burundi,Raymond EKEVWO,9765
carrera 100 m,Torneo de Burundi,Blessing OKAGBARE,9790
carrera 100 m,Torneo de Burundi,Tynia GAITHER,9800
carrera 100 m,Torneo de Cabo Verde,ShaCarri RICHARDSON,9763
carrera 100 m,Torneo de Cabo Verde,Briana WILLIAMS,9769
carrera 100 m,Torneo de Cabo Verde,Abdul Hakim SANI BROWN,9775
carrera 100 m,Torneo de Cambodia,Yuki KOIKE,9775
carrera 100 m,Torneo de Cambodia,Mujinga KAMBUNDJI,9841
carrera 100 m,Torneo de Cambodia,Isiah YOUNG,9869
carrera 100 m,Torneo de Cameroon,Aleia HOBBS,9765
carrera 100 m,Torneo de Cameroon,Roberto SKYERS,9777
carrera 100 m,Torneo de Cameroon,Dina ASHER-SMITH,9797
carrera 100 m,Torneo de Canada,Carina HORN,9764
carrera 100 m,Torneo de Canada,Murielle AHOURÉ,9786
carrera 100 m,Torneo de Canada,Akani SIMBINE,9809
carrera 100 m,Torneo de Central African Republic,Aleia HOBBS,9766
carrera 100 m,Torneo de Central African Republic,Zharnel HUGHES,9768
carrera 100 m,Torneo de Central African Republic,Mario BURKE,9771
carrera 100 m,Torneo de Chad,Murielle AHOURÉ,9776
carrera 100 m,Torneo de Chad,Akani SIMBINE,9788
carrera 100 m,Torneo de Chad,Tebogo MAMATHU,9822
carrera 100 m,Torneo de Chile,Raymond EKEVWO,9817
carrera 100 m,Torneo de Chile,Aaron BROWN,9825
carrera 100 m,Torneo de Chile,Isiah YOUNG,9839
carrera 100 m,Torneo de China,Yuki KOIKE,9767
carrera 100 m,Torneo de China,Andre DE GRASSE,9831
carrera 100 m,Torneo de China,Michael RODGERS,9893
carrera 100 m,Torneo de Colombia,Dafne SCHIPPERS,9826
carrera 100 m,Torneo de Colombia,Mario BURKE,9862
carrera 100 m,Torneo de Colombia,Christian COLEMAN,9885
carrera 100 m,Torneo de Comoros,Raymond EKEVWO,9779
carrera 100 m,Torneo de Comoros,Kiara GRANT,9791
carrera 100 m,Torneo de Comoros,Shelly-Ann FRASER-PRYCE,9851
carrera 100 m,Torneo de Congo Democratic Republic of the,Dina ASHER-SMITH,9766
carrera 100 m,Torneo de Congo Democratic Republic of the,Shelly-Ann FRASER-PRYCE,9767
carrera 100 m,Torneo de Congo Democratic Republic of the,Isiah YOUNG,9839
carrera 100 m,Torneo de Congo Republic of the,Dina ASHER-SMITH,9771
carrera 100 m,Torneo de Congo Republic of the,Dafne SCHIPPERS,9776
carrera 100 m,Torneo de Congo Republic of the,Abdul Hakim SANI BROWN,9787
carrera 100 m,Torneo de Costa Rica,Twanisha TERRY,9794
carrera 100 m,Torneo de Costa Rica,Marie-Josée TA LOU,9806
carrera 100 m,Torneo de Costa Rica,Christian COLEMAN,9812
carrera 100 m,Torneo de Croatia,Arthur CISSÉ,9761
carrera 100 m,Torneo de Croatia,Raymond EKEVWO,9778
carrera 100 m,Torneo de Croatia,Murielle AHOURÉ,9808
carrera 100 m,Torneo de Cuba,Kiara GRANT,9784
carrera 100 m,Torneo de Cuba,Marie-Josée TA LOU,9793
carrera 100 m,Torneo de Cuba,Akani SIMBINE,9803
carrera 100 m,Torneo de Cyprus,Roberto SKYERS,9766
carrera 100 m,Torneo de Cyprus,Justin GATLIN,9803
carrera 100 m,Torneo de Cyprus,Kayla WHITE,9867
carrera 100 m,Torneo de Czechia,Tyquendo TRACEY,9776
carrera 100 m,Torneo de Czechia,Tynia GAITHER,9796
carrera 100 m,Torneo de Czechia,Kiara PARKER,9799
carrera 100 m,Torneo de Denmark,Tyquendo TRACEY,9770
carrera 100 m,Torneo de Denmark,Shelly-Ann FRASER-PRYCE,9772
