Mejor y peor marca de cada deportista
id_deportista,id_especialidad,nombre_torneo,intento,marca,tipo_marca
653,17,Torneo de Tonga,9,2520.0,mejor
653,17,Torneo de Marshall Islands,8,2291.0,peor
156,4,Torneo de Colombia,1,101915.0,mejor
156,4,Torneo de Lebanon,1,112045.0,peor
492,13,Torneo de Jordan,9,261.0,mejor
492,13,Torneo de Australia,1,237.0,peor
122,3,Torneo de Brazil,1,43452.0,mejor
122,3,Torneo de Laos,1,47776.0,peor
311,9,Torneo de Gambia,1,7303234.0,mejor
311,9,Torneo de Syria,1,8023527.0,peor
255,7,Torneo de Bahamas,1,1608532.0,mejor
255,7,Torneo de Gabon,1,1768260.0,peor
486,13,Torneo de Puerto Rico,9,261.0,mejor
486,13,Torneo de Syria,10,237.0,peor
352,9,Torneo de Guyana,1,7301386.0,mejor
352,9,Torneo de Lithuania,1,8025039.0,peor
576,15,Torneo de France,6,956.0,mejor
576,15,Torneo de Romania,1,869.0,peor
25,1,Torneo de Latvia,1,9760.0,mejor
25,1,Torneo de Mexico,1,10732.0,peor
316,9,Torneo de Zimbabwe,1,7310801.0,mejor
316,9,Torneo de Haiti,1,8030831.0,peor
437,11,Torneo de Bolivia,1,46100.0,mejor
437,11,Torneo de Comoros,1,50698.0,peor
289,8,Torneo de Indonesia,1,3485931.0,mejor
289,8,Torneo de Congo Democratic Republic of the,1,3826137.0,peor
326,9,Torneo de Mauritania,1,7313334.0,mejor
326,9,Torneo de Laos,1,8030444.0,peor
775,20,Torneo de Albania,3,9963.0,mejor
775,20,Torneo de Burkina Faso,8,9072.0,peor
624,16,Torneo de Bhutan,8,1996.0,mejor
624,16,Torneo de Guyana,3,1814.0,peor
467,12,Torneo de Honduras,1,481044.0,mejor
467,12,Torneo de Costa Rica,1,529121.0,peor
664,17,Torneo de United States,7,2521.0,mejor
664,17,Torneo de Micronesia,1,2292.0,peor
642,16,Torneo de Switzerland,9,1996.0,mejor
642,16,Torneo de Macedonia,7,1814.0,peor
61,2,Torneo de Luxembourg,1,19504.0,mejor
61,2,Torneo de Malawi,1,21443.0,peor
494,13,Torneo de Venezuela,9,261.0,mejor
494,13,Torneo de Sao Tome and Principe,10,237.0,peor
117,3,Torneo de United States,1,43453.0,mejor
117,3,Torneo de Iceland,1,47793.0,peor
519,13,Torneo de Burkina Faso,9,261.0,mejor
519,13,Torneo de Namibia,1,237.0,peor
582,15,Torneo de Thailand,9,956.0,mejor
582,15,Torneo de Saudi Arabia,1,869.0,peor
556,14,Torneo de Jamaica,6,667.0,mejor
556,14,Torneo de Tunisia,1,606.0,peor
157,4,Torneo de China,1,101909.0,mejor
157,4,Torneo de Turkmenistan,1,112032.0,peor
28,1,Torneo de Syria,1,9793.0,mejor
28,1,Torneo de Sri Lanka,1,10722.0,peor
194,5,Torneo de Mongolia,1,208867.0,mejor
194,5,Torneo de Algeria,1,229647.0,peor
698,18,Torneo de Vietnam,8,7898.0,mejor
698,18,Torneo de Tanzania,3,7192.0,peor
584,15,Torneo de Lesotho,9,956.0,mejor
584,15,Torneo de Mauritius,3,869.0,peor
380,10,Torneo de Luxembourg,1,12100.0,mejor
380,10,Torneo de Nicaragua,1,13293.0,peor
679,17,Torneo de Nicaragua,2,2516.0,mejor
679,17,Torneo de Madagascar,10,2291.0,peor
619,16,Torneo de Scotland,7,1996.0,mejor
619,16,Torneo de Belgium,10,1814.0,peor
339,9,Torneo de Germany,1,7303553.0,mejor
339,9,Torneo de Chad,1,8031054.0,peor
320,8,Torneo de Guinea-Bissau,1,3483042.0,mejor
320,8,Torneo de Virgin Islands (British),1,3827062.0,peor
24,1,Torneo de Congo Democratic Republic of the,1,9766.0,mejor
24,1,Torneo de Finland,1,10728.0,peor
251,7,Torneo de Australia,1,1610215.0,mejor
251,7,Torneo de Sri Lanka,1,1768287.0,peor
415,11,Torneo de Mexico,1,46115.0,mejor
415,11,Torneo de Chile,1,50682.0,peor
50,2,Torneo de Tonga,1,19508.0,mejor
50,2,Torneo de Costa Rica,1,21446.0,peor
397,10,Torneo de Germany,1,12105.0,mejor
397,10,Torneo de Saint Lucia,1,13295.0,peor
705,18,Torneo de Gambia,10,7899.0,mejor
705,18,Torneo de Puerto Rico,4,7189.0,peor
20,1,Torneo de Denmark,1,9770.0,mejor
20,1,Torneo de Eritrea,1,10733.0,peor
581,15,Torneo de Nicaragua,7,956.0,mejor
581,15,Torneo de Comoros,1,869.0,peor
8,1,Torneo de Georgia,1,9760.0,mejor
8,1,Torneo de Eritrea,1,10735.0,peor
417,11,Torneo de Uruguay,1,46118.0,mejor
417,11,Torneo de San Marino,1,50690.0,peor
686,18,Torneo de Paraguay,4,7904.0,mejor
686,18,Torneo de Uzbekistan,1,7189.0,peor
591,16,Torneo de Angola,7,1995.0,mejor
591,16,Torneo de Laos,1,1814.0,peor
616,16,Torneo de Antigua and Barbuda,4,1996.0,mejor
616,16,Torneo de Colombia,3,1816.0,peor
551,14,Torneo de Switzerland,4,667.0,mejor
551,14,Torneo de Colombia,10,606.0,peor
70,2,Torneo de Kyrgyzstan,1,19502.0,mejor
70,2,Torneo de Ecuador,1,21430.0,peor
447,12,Torneo de Sweden,1,481168.0,mejor
447,12,Torneo de Kazakhstan,1,528889.0,peor
184,5,Torneo de South Sudan,1,208771.0,mejor
184,5,Torneo de Ghana,1,229521.0,peor
451,12,Torneo de Marshall Islands,1,481060.0,mejor
451,12,Torneo de Paraguay,1,528923.0,peor
365,10,Torneo de Georgia,1,12105.0,mejor
365,10,Torneo de Malta,1,13283.0,peor
628,16,Torneo de Palau,8,1994.0,mejor
628,16,Torneo de Benin,5,1816.0,peor
195,6,Torneo de Cameroon,1,772460.0,mejor
195,6,Torneo de Congo Democratic Republic of the,1,849050.0,peor
567,15,Torneo de Ivory Coast,7,956.0,mejor
567,15,Torneo de Romania,10,869.0,peor
606,16,Torneo de Barbados,6,1995.0,mejor
606,16,Torneo de Kazakhstan,10,1814.0,peor
725,18,Torneo de Sweden,4,7892.0,mejor
725,18,Torneo de Indonesia,10,7192.0,peor
39,2,Torneo de United Kingdom,1,19501.0,mejor
39,2,Torneo de Dominican Republic,1,21444.0,peor
516,13,Torneo de Morocco,9,261.0,mejor
516,13,Torneo de Madagascar,5,237.0,peor
3,2,Torneo de Tonga,1,19503.0,mejor
3,2,Torneo de El Salvador,1,21449.0,peor
11,1,Torneo de Jordan,1,9764.0,mejor
11,1,Torneo de Micronesia,1,10726.0,peor
11,2,Torneo de Greece,1,19503.0,mejor
11,2,Torneo de Morocco,1,21448.0,peor
67,2,Torneo de Lithuania,1,19518.0,mejor
67,2,Torneo de Latvia,1,21412.0,peor
766,20,Torneo de Singapore,6,9959.0,mejor
766,20,Torneo de Bolivia,9,9063.0,peor
665,17,Torneo de Czechia,4,2521.0,mejor
665,17,Torneo de Saint Lucia,8,2291.0,peor
367,10,Torneo de Kosovo,1,12099.0,mejor
367,10,Torneo de Kenya,1,13307.0,peor
221,6,Torneo de Vietnam,1,772938.0,mejor
221,6,Torneo de Benin,1,849067.0,peor
262,7,Torneo de Switzerland,1,1608971.0,mejor
262,7,Torneo de Azerbaijan,1,1766456.0,peor
230,6,Torneo de Malawi,1,772342.0,mejor
230,6,Torneo de Lebanon,1,849076.0,peor
97,3,Torneo de Dominican Republic,1,43500.0,mejor
97,3,Torneo de Papua New Guinea,1,47724.0,peor
259,7,Torneo de Uruguay,1,1608516.0,mejor
259,7,Torneo de Mali,1,1768095.0,peor
499,13,Torneo de Cuba,9,261.0,mejor
499,13,Torneo de Romania,1,237.0,peor
443,11,Torneo de Haiti,1,46108.0,mejor
443,11,Torneo de Botswana,1,50698.0,peor
736,19,Torneo de Thailand,5,8986.0,mejor
736,19,Torneo de Malawi,2,8182.0,peor
562,14,Torneo de Kenya,9,667.0,mejor
562,14,Torneo de Liechtenstein,1,606.0,peor
76,2,Torneo de Monaco,1,19509.0,mejor
76,2,Torneo de Congo Republic of the,1,21406.0,peor
98,11,Torneo de Maldives,1,46127.0,mejor
98,11,Torneo de Zimbabwe,1,50664.0,peor
346,9,Torneo de Botswana,1,7303206.0,mejor
346,9,Torneo de Australia,1,8023472.0,peor
792,20,Torneo de United Arab Emirates,1,9968.0,mejor
792,20,Torneo de Austria,9,9062.0,peor
781,20,Torneo de Italy,2,9967.0,mejor
781,20,Torneo de Serbia,1,9064.0,peor
22,1,Torneo de Puerto Rico,1,9761.0,mejor
22,1,Torneo de Monaco,1,10732.0,peor
392,10,Torneo de Vietnam,1,12100.0,mejor
392,10,Torneo de Palau,1,13304.0,peor
680,17,Torneo de Burundi,7,2521.0,mejor
680,17,Torneo de Guinea-Bissau,2,2291.0,peor
379,10,Torneo de Romania,1,12099.0,mejor
379,10,Torneo de Papua New Guinea,1,13307.0,peor
786,20,Torneo de Finland,10,9958.0,mejor
786,20,Torneo de Nigeria,2,9065.0,peor
271,7,Torneo de Ecuador,1,1608075.0,mejor
271,7,Torneo de Estonia,1,1768720.0,peor
418,11,Torneo de Bahamas,1,46099.0,mejor
418,11,Torneo de Armenia,1,50687.0,peor
101,3,Torneo de Papua New Guinea,1,43455.0,mejor
101,3,Torneo de Israel,1,47794.0,peor
469,12,Torneo de Nepal,1,481479.0,mejor
469,12,Torneo de Comoros,1,528814.0,peor
699,18,Torneo de Iraq,1,7898.0,mejor
699,18,Torneo de Bolivia,4,7188.0,peor
